"TOA5","Fisher711","CR350","10463","CR350.Std.01.07","CPU:Fisher711_20250709.CRB","19807","FisherMet"
"TIMESTAMP","RECORD","PTemp_C_Max","AirTC_Avg","AirTC_Std","RH","BV_BP_Avg","SlrW_Avg","CS320_Angle_Avg","Rain_mm_Tot"
"TS","RN","Deg C","Deg C","Deg C","%","hPa","W/m^2","degrees","mm"
"","","Max","Avg","Std","Smp","Avg","Avg","Avg","Tot"
"2025-07-11 14:15:00",176,23.47,24.96,0.103,79.78,1017.289,239.1,1.926,0
"2025-07-11 14:30:00",177,23.51,25.3,0.058,76.69,1017.351,366.4,1.607,0
"2025-07-11 14:45:00",178,23.53,25.85,0.313,73.72,1017.437,454,1.48,0
"2025-07-11 15:00:00",179,23.52,26.41,0.153,71.39,1017.579,298,1.736,0
"2025-07-11 15:15:00",180,23.51,26.47,0.094,71.26,1017.656,367.5,1.678,0
"2025-07-11 15:30:00",181,23.48,26.24,0.098,72.09,1017.751,379.9,1.786,0
"2025-07-11 15:45:00",182,23.46,26.65,0.18,69.74,1017.691,570.6,1.576,0
"2025-07-11 16:00:00",183,23.41,27.4,0.343,65.32,1017.814,771.2,1.529,0
"2025-07-11 16:15:00",184,23.37,28.13,0.134,61.02,1017.816,916,1.517,0
"2025-07-11 16:30:00",185,23.34,28.67,0.305,57.48,1017.621,888,1.497,0
"2025-07-11 16:45:00",186,23.24,29.34,0.202,56.39,1017.564,903,1.481,0
"2025-07-11 17:00:00",187,23.05,30.31,0.218,54.28,1017.454,916,1.504,0
"2025-07-11 17:15:00",188,22.88,30.77,0.229,52.55,1017.324,952,1.513,0
"2025-07-11 17:30:00",189,22.94,30.64,0.225,53.54,1017.177,985,1.5,0
"2025-07-11 17:45:00",190,23.26,30.88,0.232,51.36,1016.852,955,1.511,0
"2025-07-11 18:00:00",191,23.73,30.63,0.169,52.38,1016.731,902,1.548,0
"2025-07-11 18:15:00",192,24.05,30.96,0.304,50.05,1016.659,779.1,1.522,0
"2025-07-11 18:30:00",193,24.24,31.19,0.15,50.61,1016.596,917,1.601,0
"2025-07-11 18:45:00",194,24.35,31.99,0.223,48.73,1016.532,938,1.542,0
"2025-07-11 19:00:00",195,24.44,32.12,0.138,47.59,1016.431,697.5,1.576,0
"2025-07-11 19:15:00",196,24.48,32.05,0.306,47.78,1016.314,917,1.654,0
"2025-07-11 19:30:00",197,24.44,32.09,0.236,47.1,1016.251,862,1.583,0
"2025-07-11 19:45:00",198,24.39,32.76,0.354,48.15,1016.281,405.2,1.662,0
"2025-07-11 20:00:00",199,24.31,32.54,0.314,44.15,1016.351,604.7,1.715,0
"2025-07-11 20:15:00",200,24.24,32.58,0.118,45.24,1016.346,480.4,1.637,0
"2025-07-11 20:30:00",201,24.22,31.89,0.129,47.27,1016.189,517.4,1.739,0
"2025-07-11 20:45:00",202,24.22,32.19,0.147,46.12,1015.999,627.5,1.693,0
"2025-07-11 21:00:00",203,24.25,32.83,0.32,43.7,1015.937,694,1.712,0
"2025-07-11 21:15:00",204,24.24,32.4,0.33,45.08,1015.962,620.9,1.677,0
"2025-07-11 21:30:00",205,24.12,32.36,0.279,46.02,1016.027,314.5,1.8,0
"2025-07-11 21:45:00",206,24,31.96,0.176,47.14,1016.031,420.3,1.845,0
"2025-07-11 22:00:00",207,23.95,32.22,0.15,46.89,1015.926,493.1,1.775,0
"2025-07-11 22:15:00",208,23.9,32.63,0.267,45.7,1015.851,434.9,1.735,0
"2025-07-11 22:30:00",209,23.88,32.56,0.252,46.32,1015.754,384.1,1.71,0
"2025-07-11 22:45:00",210,23.88,32.07,0.094,45.66,1015.529,319.4,1.837,0
"2025-07-11 23:00:00",211,23.88,31.78,0.057,46.87,1015.284,275.6,1.803,0
"2025-07-11 23:15:00",212,23.87,31.91,0.121,47.62,1015.222,221.8,1.781,0
"2025-07-11 23:30:00",213,23.86,31.57,0.061,49.23,1015.121,183.6,1.879,0
"2025-07-11 23:45:00",214,23.88,31.43,0.076,48.93,1015.172,147.4,1.902,0
"2025-07-12 00:00:00",215,23.9,31.2,0.122,50.65,1015.259,74.95,1.958,0
"2025-07-12 00:15:00",216,23.91,30.73,0.143,57.66,1015.351,32.95,2.051,0
"2025-07-12 00:30:00",217,23.93,29.95,0.187,61.54,1015.351,18.9,2.095,0
"2025-07-12 00:45:00",218,23.95,29.47,0.091,62.54,1015.351,8.32,2.195,0
