"Download Date", "Last Record", "RECORD"
2025-08-06,2025-07-30T19:45:00Z,2022
2025-08-18,2025-08-18T21:15:00Z,3852
2025-10-08,2025-10-06T15:15:00Z,8532
2025-10-14,2025-10-13T14:30:00Z,9201
2025-10-21,2025-10-21T20:30:00Z,9993
2025-10-31,2025-10-29T20:15:00Z,10760
2025-11-10,2025-11-10T20:45:00Z,11914
2025-11-20,2025-11-20T21:45:00Z,12878
2025-12-02,2025-12-02T15:30:00Z,14005
2025-12-09,2025-12-08T14:45:00Z,14578
2026-01-05,2026-01-05T22:00:00Z,17295
2026-01-15,2026-01-13T22:30:00Z,18065
2026-01-22,2026-01-21T15:30:00Z,18805
2026-01-27,2026-01-21T15:30:00Z,18805
2026-01-27,2026-01-27T18:30:00Z,19393
2026-02-03,2026-02-03T15:15:00Z,20052
2026-02-09,2026-02-09T21:15:00Z,20652
